zip,state,county,city,radius,distance
60440,IL,Will,Bolingbrook,6,0.81
60565,IL,Dupage,Naperville,6,4.50
60517,IL,Dupage,Woodridge,6,4.55
60490,IL,Will,Bolingbrook,6,6.82
60516,IL,Dupage,Downers Grove,6,6.92
60439,IL,Cook,Lemont,6,7.48
60446,IL,Will,Romeoville,6,7.69
60561,IL,Dupage,Darien,6,8.19
60540,IL,Dupage,Naperville,6,9.20
60532,IL,Dupage,Lisle,6,9.74
60441,IL,Will,Lockport,6,9.95
60564,IL,Will,Naperville,6,10.90
60566,IL,Dupage,Naperville,6,11.28
60567,IL,Dupage,Naperville,6,11.28
60527,IL,Dupage,Willowbrook,6,12.06
60515,IL,Dupage,Downers Grove,6,12.52
60559,IL,Dupage,Westmont,6,13.04
60563,IL,Dupage,Naperville,6,13.39
60585,IL,Will,Plainfield,6,13.59
60514,IL,Dupage,Clarendon Hills,6,13.88
60598,IL,Dupage,Aurora,6,14.31
60491,IL,Will,Homer Glen,6,14.38
60403,IL,Will,Crest Hill,6,14.83
60572,IL,Dupage,Aurora,6,15.44
60189,IL,Dupage,Wheaton,6,15.49
60504,IL,Dupage,Aurora,6,15.51
60522,IL,Dupage,Hinsdale,6,15.53
60544,IL,Will,Plainfield,6,15.74
60480,IL,Cook,Willow Springs,6,15.78
60503,IL,Will,Aurora,6,16.12
60521,IL,Dupage,Hinsdale,6,16.17
60519,IL,Dupage,Eola,6,16.64
60569,IL,Dupage,Aurora,6,17.39
60464,IL,Cook,Palos Park,6,17.62
60555,IL,Dupage,Warrenville,6,17.73
60523,IL,Dupage,Oak Brook,6,17.81
60137,IL,Dupage,Glen Ellyn,6,17.87
60435,IL,Will,Joliet,6,18.00
60558,IL,Cook,Western Springs,6,18.12
60432,IL,Will,Joliet,6,18.22
60467,IL,Cook,Orland Park,6,18.59
60502,IL,Dupage,Aurora,6,18.70
60187,IL,Dupage,Wheaton,6,19.24
60138,IL,Dupage,Glen Ellyn,6,19.51
60525,IL,Cook,La Grange,6,19.69
60434,IL,Will,Joliet,6,19.72
60148,IL,Dupage,Lombard,6,19.92
60458,IL,Cook,Justice,6,20.08
60505,IL,Kane,Aurora,6,20.13
60465,IL,Cook,Palos Hills,6,20.13
60190,IL,Dupage,Winfield,6,20.23
